S.N.,Broker No.,Broker Name,Buy Amount (Rs.),Sell Amount (Rs.),Total Amount (Rs.),Matching Amount (Rs.),Date
35,7,J.F. Securities Company Pvt. Limited,"3,272,800.00","3,238,387.00","6,511,187.00",0,1/16/2017
15,8,Ashutosh Brokerage & Securities Pvt. Limited,"5,162,089.00","7,608,088.00","12,770,177.00","1,240,140.00",1/16/2017
35,1,Kumari Securities Pvt. Limited,"4,811,289.25","2,149,885.00","6,961,174.25","234,688.00",1/17/2017
11,10,Pragyan Securities Pvt. Limited,"9,185,247.00","8,050,577.00","17,235,824.00","411,680.00",1/17/2017
30,11,Malla & Malla Stock Broking Company Pvt. Limited,"4,420,471.00","4,313,569.00","8,734,040.00","47,420.00",1/17/2017
26,13,Thrive Brokerage House Pvt. Limited,"5,393,573.00","4,867,237.00","10,260,810.00","1,777,584.00",1/17/2017
31,14,Nepal Stock House Pvt. Limited,"5,980,724.00","2,538,688.00","8,519,412.00","958,348.00",1/17/2017
32,16,Primo Securities Pvt. Limited,"5,831,943.00","2,392,215.00","8,224,158.00","1,299,050.00",1/17/2017
8,17,ABC Securities Pvt. Limited,"12,234,239.60","12,993,207.10","25,227,446.70","2,193,411.20",1/17/2017
48,18,Sagarmatha Securities Pvt. Limited,"2,585,556.00","149,880.00","2,735,436.00",0,1/17/2017
29,19,Nepal Investment & Securities Trading Pvt. Limited,"7,636,961.00","1,530,038.00","9,166,999.00",0,1/17/2017
19,20,Sipla Securities Pvt. Limited,"3,272,934.00","8,173,854.00","11,446,788.00","235,648.00",1/17/2017
18,21,Midas Stock Broking Company Pvt. Limited,"3,713,681.00","7,928,648.00","11,642,329.00","23,160.00",1/17/2017
13,22,Siprabi Securities Pvt. Limited,"5,536,101.00","9,386,558.00","14,922,659.00","112,072.00",1/17/2017
17,25,Sweta Securities Pvt. Limited,"8,330,767.00","4,606,616.29","12,937,383.29","355,260.00",1/17/2017
16,26,Asian Securities Pvt. Limited,"6,064,318.25","6,896,620.00","12,960,938.25","1,667,296.00",1/17/2017
14,28,Shree Krishna Securities Limited,"8,398,326.00","5,260,210.00","13,658,536.00","2,694,274.00",1/17/2017
39,29,Trishul Securities And Investment Limited,"5,151,814.00","1,301,157.00","6,452,971.00","90,496.00",1/17/2017
49,3,Arun Securities Pvt. Limited,"235,636.00",0,"235,636.00",0,1/17/2017
10,32,Premier Securites Company Limited,"8,746,447.00","8,496,351.00","17,242,798.00","3,299,534.00",1/17/2017
22,33,Dakshinkali Investment Securities Pvt.Limited,"5,706,388.00","4,990,375.00","10,696,763.00","838,240.00",1/17/2017
20,34,Vision Securities Pvt.Limited,"7,534,324.29","3,542,938.00","11,077,262.29","535,840.00",1/17/2017
12,35,Kohinoor Investment and Securities Pvt.Ltd,"3,040,528.00","13,390,409.00","16,430,937.00","3,564,000.00",1/17/2017
24,36,Secured Securities Limited,"2,102,755.00","8,285,842.00","10,388,597.00","180,800.00",1/17/2017
37,37,Swarnalaxmi Securities Pvt.Limited,"5,434,723.00","1,179,377.00","6,614,100.00","490,630.00",1/17/2017
9,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,"12,472,635.00","5,234,435.00","17,707,070.00","2,708,188.00",1/17/2017
46,39,Sumeru Securities Pvt.Limited,"2,374,461.00","1,655,664.00","4,030,125.00","11,066.00",1/17/2017
44,4,Stock Broker Opal Securities Investment Pvt. Limited,"3,101,958.00","1,412,409.00","4,514,367.00","1,100,580.00",1/17/2017
36,40,Creative Securities Pvt.Limited,"3,276,118.00","3,471,148.00","6,747,266.00","134,196.00",1/17/2017
15,41,Linch Stock Market Limited,"7,843,138.00","5,204,311.00","13,047,449.00","80,652.00",1/17/2017
6,42,Sani Securities Company Limited,"22,969,149.00","7,306,036.00","30,275,185.00","420,200.00",1/17/2017
40,43,South Asian Bulls Pvt.Limited,"3,419,359.00","2,964,989.13","6,384,348.13","195,000.00",1/17/2017
41,44,Dynamic Money Managers Securities Pvt.Ltd,"3,669,251.00","1,575,044.00","5,244,295.00","980,000.00",1/17/2017
2,45,Imperial Securities Co .Pvt.Limited,"5,922,306.00","211,286,011.00","217,208,317.00","905,028.00",1/17/2017
47,46,Kalika Securities Pvt.Limited,"1,651,845.00","2,150,549.00","3,802,394.00","240,000.00",1/17/2017
28,47,Neev Securities Pvt.Ltd,"2,906,526.00","6,351,259.00","9,257,785.00","6,660.00",1/17/2017
23,48,Trishakti Securities Public Limited,"4,606,860.00","5,936,764.00","10,543,624.00",0,1/17/2017
1,49,Online Securities Limited,"131,284,083.23","109,010,239.70","240,294,322.93","199,077,597.40",1/17/2017
34,5,Market Securities Exchange Company Pvt. Limited,"4,713,222.00","2,366,348.00","7,079,570.00","720,000.00",1/17/2017
27,50,Crystal Kanchenjunga Securities Pvt.Ltd,"2,651,689.00","6,611,038.00","9,262,727.00","952,000.00",1/17/2017
45,51,Oxford Securities Pvt.Ltd,"2,578,505.00","1,546,245.00","4,124,750.00",0,1/17/2017
21,52,Sundhara Securities Limited,"6,284,621.00","4,470,578.00","10,755,199.00","478,400.00",1/17/2017
38,53,Investment Management Nepal Pvt. Ltd.,"4,741,329.00","1,830,102.00","6,571,431.00",0,1/17/2017
25,54,Sewa Securities Pvt. Ltd.,"4,338,068.00","5,942,113.00","10,280,181.00","219,500.00",1/17/2017
42,55,Bhrikuti Stock Broking Co. Pvt. Ltd.,"3,356,780.00","1,536,289.00","4,893,069.00",0,1/17/2017
7,56,Sri Hari Securities Pvt.Ltd,"7,318,300.00","22,125,204.00","29,443,504.00","190,856.00",1/17/2017
4,57,Arya Tara Investment And Securities Pvt. Ltd.,"2,519,468.00","31,306,519.40","33,825,987.40",0,1/17/2017
50,58,Naasa Securities Co. Ltd.,0,0,0,0,1/17/2017
3,59,Deevyaa Securities & Stock House Pvt. Ltd,"192,622,271.00","1,772,975.00","194,395,246.00",0,1/17/2017
5,6,Agrawal Securities Pvt. Limited,"12,319,438.00","18,679,367.00","30,998,805.00","8,599,870.00",1/17/2017
43,7,J.F. Securities Company Pvt. Limited,"2,282,237.00","2,577,369.00","4,859,606.00","1,061,516.00",1/17/2017
33,8,Ashutosh Brokerage & Securities Pvt. Limited,"6,196,773.00","2,021,879.00","8,218,652.00","44,320.00",1/17/2017
36,1,Kumari Securities Pvt. Limited,"6,761,216.00","2,653,501.00","9,414,717.00","350,200.00",1/18/2017
4,10,Pragyan Securities Pvt. Limited,"12,602,526.00","13,850,759.00","26,453,285.00",0,1/18/2017
40,11,Malla & Malla Stock Broking Company Pvt. Limited,"5,756,275.00","2,226,902.80","7,983,177.80",0,1/18/2017
23,13,Thrive Brokerage House Pvt. Limited,"8,250,463.00","4,309,629.00","12,560,092.00","227,040.00",1/18/2017
6,14,Nepal Stock House Pvt. Limited,"9,813,256.80","13,882,765.00","23,696,021.80","3,290,562.00",1/18/2017
26,16,Primo Securities Pvt. Limited,"6,335,403.00","5,970,787.00","12,306,190.00","1,881,438.00",1/18/2017
2,17,ABC Securities Pvt. Limited,"7,144,692.00","33,681,189.50","40,825,881.50","2,950,932.00",1/18/2017
46,18,Sagarmatha Securities Pvt. Limited,"1,759,387.00","1,889,037.00","3,648,424.00","579,342.00",1/18/2017
27,19,Nepal Investment & Securities Trading Pvt. Limited,"8,169,037.00","3,201,046.00","11,370,083.00","278,000.00",1/18/2017
17,20,Sipla Securities Pvt. Limited,"6,842,477.00","7,269,349.00","14,111,826.00","82,000.00",1/18/2017
22,21,Midas Stock Broking Company Pvt. Limited,"6,543,948.50","6,216,511.00","12,760,459.50",0,1/18/2017
21,22,Siprabi Securities Pvt. Limited,"4,149,680.00","8,699,104.00","12,848,784.00","541,640.00",1/18/2017
14,25,Sweta Securities Pvt. Limited,"10,487,007.00","6,655,357.00","17,142,364.00","2,349,014.00",1/18/2017
19,26,Asian Securities Pvt. Limited,"5,456,724.00","7,645,785.00","13,102,509.00","1,972,110.00",1/18/2017
10,28,Shree Krishna Securities Limited,"6,810,381.00","12,251,550.00","19,061,931.00","2,064,000.00",1/18/2017
18,29,Trishul Securities And Investment Limited,"9,176,546.00","4,591,440.00","13,767,986.00","251,068.00",1/18/2017
49,3,Arun Securities Pvt. Limited,"234,315.00","229,061.00","463,376.00",0,1/18/2017
24,32,Premier Securites Company Limited,"6,541,315.00","5,875,667.00","12,416,982.00","3,226,680.00",1/18/2017
34,33,Dakshinkali Investment Securities Pvt.Limited,"3,531,012.00","6,019,278.00","9,550,290.00","892,400.00",1/18/2017
12,34,Vision Securities Pvt.Limited,"8,495,041.00","8,973,578.00","17,468,619.00","1,555,516.00",1/18/2017
28,35,Kohinoor Investment and Securities Pvt.Ltd,"5,151,920.00","5,858,590.00","11,010,510.00","3,752,946.00",1/18/2017
39,36,Secured Securities Limited,"5,062,717.00","3,296,682.00","8,359,399.00","1,017,352.00",1/18/2017
38,37,Swarnalaxmi Securities Pvt.Limited,"4,424,297.00","3,952,564.00","8,376,861.00","466,228.00",1/18/2017
11,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,"12,437,261.00","5,856,253.00","18,293,514.00","2,662,560.00",1/18/2017
37,39,Sumeru Securities Pvt.Limited,"2,641,830.00","6,729,971.00","9,371,801.00","658,600.00",1/18/2017
48,4,Stock Broker Opal Securities Investment Pvt. Limited,"1,681,926.00","261,745.00","1,943,671.00",0,1/18/2017
44,40,Creative Securities Pvt.Limited,"2,940,951.00","2,781,574.00","5,722,525.00","499,720.00",1/18/2017
20,41,Linch Stock Market Limited,"9,375,031.00","3,596,576.00","12,971,607.00","1,496,132.00",1/18/2017
9,42,Sani Securities Company Limited,"9,730,916.00","9,488,388.00","19,219,304.00","3,384,310.00",1/18/2017
43,43,South Asian Bulls Pvt.Limited,"3,552,290.00","2,442,411.00","5,994,701.00","83,848.00",1/18/2017
45,44,Dynamic Money Managers Securities Pvt.Ltd,"2,094,021.00","1,958,548.00","4,052,569.00",0,1/18/2017
5,45,Imperial Securities Co .Pvt.Limited,"13,285,263.00","11,490,655.00","24,775,918.00","2,810,784.00",1/18/2017
47,46,Kalika Securities Pvt.Limited,"2,136,188.00","882,637.00","3,018,825.00",0,1/18/2017
15,47,Neev Securities Pvt.Ltd,"9,425,110.00","6,309,401.00","15,734,511.00","239,200.00",1/18/2017
3,48,Trishakti Securities Public Limited,"12,202,409.00","25,093,159.00","37,295,568.00","9,650,250.00",1/18/2017
1,49,Online Securities Limited,"25,307,812.00","21,079,645.00","46,387,457.00","21,223,704.00",1/18/2017
29,5,Market Securities Exchange Company Pvt. Limited,"7,249,075.00","3,665,795.00","10,914,870.00","275,600.00",1/18/2017
42,50,Crystal Kanchenjunga Securities Pvt.Ltd,"1,876,234.00","5,406,491.00","7,282,725.00","80,800.00",1/18/2017
32,51,Oxford Securities Pvt.Ltd,"4,841,063.00","4,785,883.00","9,626,946.00","431,400.00",1/18/2017
41,52,Sundhara Securities Limited,"3,690,238.00","4,249,007.00","7,939,245.00","20,736.00",1/18/2017
35,53,Investment Management Nepal Pvt. Ltd.,"8,138,091.00","1,407,363.00","9,545,454.00","71,800.00",1/18/2017
33,54,Sewa Securities Pvt. Ltd.,"3,539,940.00","6,031,414.00","9,571,354.00","237,902.00",1/18/2017
31,55,Bhrikuti Stock Broking Co. Pvt. Ltd.,"7,707,712.00","2,574,925.00","10,282,637.00","522,220.00",1/18/2017
7,56,Sri Hari Securities Pvt.Ltd,"12,661,102.00","9,195,385.00","21,856,487.00","1,356,240.00",1/18/2017
16,57,Arya Tara Investment And Securities Pvt. Ltd.,"5,208,545.00","8,976,948.00","14,185,493.00","99,008.00",1/18/2017
50,58,Naasa Securities Co. Ltd.,0,0,0,0,1/18/2017
30,59,Deevyaa Securities & Stock House Pvt. Ltd,"7,645,472.00","3,099,254.00","10,744,726.00","94,400.00",1/18/2017
13,6,Agrawal Securities Pvt. Limited,"8,183,104.00","9,060,780.00","17,243,884.00","238,040.00",1/18/2017
25,7,J.F. Securities Company Pvt. Limited,"4,093,719.00","8,238,442.00","12,332,161.00","204,780.00",1/18/2017
8,8,Ashutosh Brokerage & Securities Pvt. Limited,"11,414,002.00","8,696,159.00","20,110,161.00","1,152,358.00",1/18/2017
22,1,Kumari Securities Pvt. Limited,"7,425,679.00","4,309,447.00","11,735,126.00","3,795,250.00",1/19/2017
14,10,Pragyan Securities Pvt. Limited,"6,015,068.00","11,454,007.00","17,469,075.00","4,608,224.00",1/19/2017
42,11,Malla & Malla Stock Broking Company Pvt. Limited,"4,017,371.00","1,469,347.00","5,486,718.00","296,172.00",1/19/2017
17,13,Thrive Brokerage House Pvt. Limited,"6,697,277.00","6,969,254.00","13,666,531.00",0,1/19/2017
24,14,Nepal Stock House Pvt. Limited,"4,082,936.54","7,310,000.00","11,392,936.54","1,109,208.00",1/19/2017
37,16,Primo Securities Pvt. Limited,"3,077,246.00","4,004,035.00","7,081,281.00","793,900.00",1/19/2017
2,17,ABC Securities Pvt. Limited,"11,283,771.33","18,321,759.00","29,605,530.33","7,696,702.00",1/19/2017
48,18,Sagarmatha Securities Pvt. Limited,"2,578,361.00","241,390.00","2,819,751.00",0,1/19/2017
25,19,Nepal Investment & Securities Trading Pvt. Limited,"5,828,328.00","5,051,635.00","10,879,963.00","190,766.00",1/19/2017
44,20,Sipla Securities Pvt. Limited,"1,725,335.00","2,429,566.00","4,154,901.00","48,950.00",1/19/2017
27,21,Midas Stock Broking Company Pvt. Limited,"3,941,334.00","6,630,566.00","10,571,900.00",0,1/19/2017
12,22,Siprabi Securities Pvt. Limited,"10,616,240.00","7,287,649.00","17,903,889.00","314,420.00",1/19/2017
5,25,Sweta Securities Pvt. Limited,"8,606,929.00","17,636,493.00","26,243,422.00","3,730,394.00",1/19/2017
18,26,Asian Securities Pvt. Limited,"6,930,176.00","6,121,461.00","13,051,637.00","966,368.00",1/19/2017
4,28,Shree Krishna Securities Limited,"8,591,837.00","18,231,673.00","26,823,510.00","5,154,674.00",1/19/2017
21,29,Trishul Securities And Investment Limited,"5,028,804.00","7,102,156.00","12,130,960.00","2,547,728.00",1/19/2017
49,3,Arun Securities Pvt. Limited,"780,496.00",0,"780,496.00",0,1/19/2017
13,32,Premier Securites Company Limited,"6,047,128.00","11,515,509.00","17,562,637.00","1,035,500.00",1/19/2017
31,33,Dakshinkali Investment Securities Pvt.Limited,"4,585,182.00","4,430,319.00","9,015,501.00",0,1/19/2017
6,34,Vision Securities Pvt.Limited,"12,458,517.00","7,321,276.00","19,779,793.00","1,127,840.00",1/19/2017
32,35,Kohinoor Investment and Securities Pvt.Ltd,"6,331,516.00","2,618,078.00","8,949,594.00","495,720.00",1/19/2017
26,36,Secured Securities Limited,"6,406,468.00","4,423,316.00","10,829,784.00","372,160.00",1/19/2017
28,37,Swarnalaxmi Securities Pvt.Limited,"4,417,997.00","6,030,898.00","10,448,895.00","1,283,360.00",1/19/2017
10,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,"11,114,289.27","7,846,665.27","18,960,954.54","4,069,734.54",1/19/2017
45,39,Sumeru Securities Pvt.Limited,"2,188,176.00","1,961,917.00","4,150,093.00","497,728.00",1/19/2017
46,4,Stock Broker Opal Securities Investment Pvt. Limited,"2,227,989.00","1,110,286.00","3,338,275.00",0,1/19/2017
36,40,Creative Securities Pvt.Limited,"4,088,029.00","3,816,311.00","7,904,340.00","761,212.00",1/19/2017
15,41,Linch Stock Market Limited,"9,073,398.00","6,478,357.00","15,551,755.00","384,678.00",1/19/2017
30,42,Sani Securities Company Limited,"6,030,875.00","3,117,607.00","9,148,482.00",0,1/19/2017
23,43,South Asian Bulls Pvt.Limited,"9,516,819.00","2,031,578.00","11,548,397.00","34,200.00",1/19/2017
39,44,Dynamic Money Managers Securities Pvt.Ltd,"3,291,212.00","2,683,506.00","5,974,718.00","888,040.00",1/19/2017
7,45,Imperial Securities Co .Pvt.Limited,"7,346,445.00","12,360,282.00","19,706,727.00","609,480.00",1/19/2017
43,46,Kalika Securities Pvt.Limited,"3,178,088.00","1,318,686.00","4,496,774.00",0,1/19/2017
8,47,Neev Securities Pvt.Ltd,"9,096,583.00","10,189,352.00","19,285,935.00","1,254,652.00",1/19/2017
3,48,Trishakti Securities Public Limited,"11,552,097.00","15,953,689.00","27,505,786.00","4,192,668.00",1/19/2017
1,49,Online Securities Limited,"27,849,064.90","19,378,194.90","47,227,259.80","28,080,881.80",1/19/2017
38,5,Market Securities Exchange Company Pvt. Limited,"4,648,493.00","2,088,838.00","6,737,331.00",0,1/19/2017
40,50,Crystal Kanchenjunga Securities Pvt.Ltd,"1,785,742.00","4,029,518.87","5,815,260.87","282,000.00",1/19/2017
41,51,Oxford Securities Pvt.Ltd,"4,379,456.00","1,271,462.00","5,650,918.00",0,1/19/2017
29,52,Sundhara Securities Limited,"7,440,115.00","2,258,773.00","9,698,888.00","379,400.00",1/19/2017
20,53,Investment Management Nepal Pvt. Ltd.,"9,839,961.00","2,361,544.00","12,201,505.00",0,1/19/2017
35,54,Sewa Securities Pvt. Ltd.,"3,235,366.00","4,751,910.00","7,987,276.00","430,800.00",1/19/2017
33,55,Bhrikuti Stock Broking Co. Pvt. Ltd.,"1,623,723.00","6,558,841.00","8,182,564.00","414,000.00",1/19/2017
19,56,Sri Hari Securities Pvt.Ltd,"3,704,873.00","9,005,838.00","12,710,711.00","1,694,818.00",1/19/2017
16,57,Arya Tara Investment And Securities Pvt. Ltd.,"6,440,800.00","7,903,501.00","14,344,301.00","262,200.00",1/19/2017
50,58,Naasa Securities Co. Ltd.,0,0,0,0,1/19/2017
34,59,Deevyaa Securities & Stock House Pvt. Ltd,"4,771,010.00","3,293,893.00","8,064,903.00","166,560.00",1/19/2017
11,6,Agrawal Securities Pvt. Limited,"9,884,607.00","8,543,581.00","18,428,188.00","1,595,314.00",1/19/2017
47,7,J.F. Securities Company Pvt. Limited,"1,262,174.00","1,927,034.00","3,189,208.00",0,1/19/2017
9,8,Ashutosh Brokerage & Securities Pvt. Limited,"9,631,526.00","9,523,909.00","19,155,435.00","3,142,240.00",1/19/2017
16,1,Kumari Securities Pvt. Limited,"10,486,855.00","4,940,405.00","15,427,260.00","305,370.00",1/22/2017
20,10,Pragyan Securities Pvt. Limited,"8,683,484.00","4,764,753.00","13,448,237.00","2,301,832.00",1/22/2017
43,11,Malla & Malla Stock Broking Company Pvt. Limited,"3,746,948.00","1,539,545.00","5,286,493.00","118,920.00",1/22/2017
14,13,Thrive Brokerage House Pvt. Limited,"8,785,515.00","7,630,196.00","16,415,711.00","888,410.00",1/22/2017
27,14,Nepal Stock House Pvt. Limited,"3,848,279.50","7,353,780.00","11,202,059.50","949,912.00",1/22/2017
34,16,Primo Securities Pvt. Limited,"6,215,461.00","2,223,503.00","8,438,964.00","457,878.00",1/22/2017
7,17,ABC Securities Pvt. Limited,"7,695,866.00","15,226,616.00","22,922,482.00","1,853,628.00",1/22/2017
48,18,Sagarmatha Securities Pvt. Limited,"234,646.00","772,210.00","1,006,856.00",0,1/22/2017
30,19,Nepal Investment & Securities Trading Pvt. Limited,"7,635,454.00","2,408,233.00","10,043,687.00","60,400.00",1/22/2017
44,20,Sipla Securities Pvt. Limited,"2,056,231.00","1,987,323.00","4,043,554.00","32,494.00",1/22/2017
32,21,Midas Stock Broking Company Pvt. Limited,"3,088,517.00","6,572,612.00","9,661,129.00","791,000.00",1/22/2017
11,22,Siprabi Securities Pvt. Limited,"8,517,531.00","9,004,331.00","17,521,862.00","4,370,860.00",1/22/2017
23,25,Sweta Securities Pvt. Limited,"5,521,751.00","7,535,294.00","13,057,045.00","739,400.00",1/22/2017
19,26,Asian Securities Pvt. Limited,"4,446,755.00","9,831,685.00","14,278,440.00","511,236.00",1/22/2017
6,28,Shree Krishna Securities Limited,"8,690,382.00","14,402,891.00","23,093,273.00","2,439,764.00",1/22/2017
35,29,Trishul Securities And Investment Limited,"5,210,368.00","2,922,878.00","8,133,246.00","1,342,212.00",1/22/2017
49,3,Arun Securities Pvt. Limited,"46,800.00",0,"46,800.00",0,1/22/2017
8,32,Premier Securites Company Limited,"15,662,316.00","4,096,480.00","19,758,796.00","1,093,640.00",1/22/2017
29,33,Dakshinkali Investment Securities Pvt.Limited,"5,366,356.00","4,851,130.00","10,217,486.00","291,000.00",1/22/2017
4,34,Vision Securities Pvt.Limited,"18,046,001.00","12,190,746.00","30,236,747.00","12,907,398.00",1/22/2017
33,35,Kohinoor Investment and Securities Pvt.Ltd,"5,165,900.40","4,393,663.00","9,559,563.40","2,182,976.00",1/22/2017
15,36,Secured Securities Limited,"5,555,704.00","10,065,781.00","15,621,485.00","359,580.00",1/22/2017
40,37,Swarnalaxmi Securities Pvt.Limited,"3,129,205.00","3,093,960.00","6,223,165.00","15,268.00",1/22/2017
12,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,"8,575,141.00","8,537,651.00","17,112,792.00","1,721,684.00",1/22/2017
42,39,Sumeru Securities Pvt.Limited,"3,530,073.00","2,440,093.40","5,970,166.40","151,600.00",1/22/2017
46,4,Stock Broker Opal Securities Investment Pvt. Limited,"1,972,947.00","1,873,503.00","3,846,450.00","843,232.00",1/22/2017
36,40,Creative Securities Pvt.Limited,"3,747,191.00","4,115,866.00","7,863,057.00","1,203,800.00",1/22/2017
18,41,Linch Stock Market Limited,"10,084,161.00","4,516,284.50","14,600,445.50","4,112,890.00",1/22/2017
3,42,Sani Securities Company Limited,"7,894,547.00","28,940,438.00","36,834,985.00","1,896,400.00",1/22/2017
17,43,South Asian Bulls Pvt.Limited,"2,677,420.00","12,434,524.00","15,111,944.00","168,300.00",1/22/2017
41,44,Dynamic Money Managers Securities Pvt.Ltd,"2,301,027.00","3,854,861.00","6,155,888.00","45,120.00",1/22/2017
1,45,Imperial Securities Co .Pvt.Limited,"34,217,505.00","13,494,692.00","47,712,197.00","3,184,364.00",1/22/2017
47,46,Kalika Securities Pvt.Limited,"3,412,498.00","44,520.00","3,457,018.00",0,1/22/2017
21,47,Neev Securities Pvt.Ltd,"7,632,044.00","5,712,536.00","13,344,580.00","340,424.00",1/22/2017
9,48,Trishakti Securities Public Limited,"10,474,859.00","8,943,603.00","19,418,462.00","127,060.00",1/22/2017
2,49,Online Securities Limited,"20,701,476.75","24,191,698.75","44,893,175.50","23,720,579.50",1/22/2017
31,5,Market Securities Exchange Company Pvt. Limited,"6,918,331.00","2,811,088.00","9,729,419.00","477,800.00",1/22/2017
45,50,Crystal Kanchenjunga Securities Pvt.Ltd,"2,184,158.00","1,776,067.00","3,960,225.00","47,000.00",1/22/2017
38,51,Oxford Securities Pvt.Ltd,"3,947,188.00","2,750,913.00","6,698,101.00","226,908.00",1/22/2017
22,52,Sundhara Securities Limited,"4,205,244.00","8,915,207.00","13,120,451.00","171,700.00",1/22/2017
37,53,Investment Management Nepal Pvt. Ltd.,"5,059,514.00","2,662,840.00","7,722,354.00",0,1/22/2017
26,54,Sewa Securities Pvt. Ltd.,"1,214,006.00","10,436,935.00","11,650,941.00","638,000.00",1/22/2017
39,55,Bhrikuti Stock Broking Co. Pvt. Ltd.,"2,016,096.00","4,671,534.00","6,687,630.00","456,542.00",1/22/2017
5,56,Sri Hari Securities Pvt.Ltd,"12,899,991.00","15,062,159.00","27,962,150.00","2,548,288.00",1/22/2017
28,57,Arya Tara Investment And Securities Pvt. Ltd.,"5,317,651.00","5,830,897.00","11,148,548.00","686,300.00",1/22/2017
50,58,Naasa Securities Co. Ltd.,0,0,0,0,1/22/2017
25,59,Deevyaa Securities & Stock House Pvt. Ltd,"8,778,208.00","3,027,682.00","11,805,890.00","2,225,400.00",1/22/2017
13,6,Agrawal Securities Pvt. Limited,"11,588,468.00","5,163,117.00","16,751,585.00","147,280.00",1/22/2017
10,7,J.F. Securities Company Pvt. Limited,"4,406,508.00","13,131,520.00","17,538,028.00","483,280.00",1/22/2017
24,8,Ashutosh Brokerage & Securities Pvt. Limited,"5,930,868.00","6,375,202.00","12,306,070.00","495,056.00",1/22/2017
23,1,Kumari Securities Pvt. Limited,"6,367,768.00","3,362,829.00","9,730,597.00","2,346,074.00",1/23/2017
30,10,Pragyan Securities Pvt. Limited,"3,969,757.36","3,727,421.00","7,697,178.36","2,058,896.00",1/23/2017
32,11,Malla & Malla Stock Broking Company Pvt. Limited,"4,103,906.00","3,447,581.00","7,551,487.00",0,1/23/2017
12,13,Thrive Brokerage House Pvt. Limited,"6,724,849.00","6,967,853.00","13,692,702.00","3,702,492.00",1/23/2017
15,14,Nepal Stock House Pvt. Limited,"6,306,107.50","6,174,852.00","12,480,959.50","3,576,022.00",1/23/2017
31,16,Primo Securities Pvt. Limited,"4,230,766.00","3,388,214.00","7,618,980.00","2,235,170.00",1/23/2017
8,17,ABC Securities Pvt. Limited,"6,269,099.00","9,569,096.00","15,838,195.00","582,060.00",1/23/2017
40,18,Sagarmatha Securities Pvt. Limited,"1,743,398.00","4,022,744.00","5,766,142.00","1,995,850.00",1/23/2017
29,19,Nepal Investment & Securities Trading Pvt. Limited,"3,901,191.00","4,593,877.00","8,495,068.00",0,1/23/2017
37,20,Sipla Securities Pvt. Limited,"4,664,666.00","1,411,936.00","6,076,602.00","1,541,712.00",1/23/2017
38,21,Midas Stock Broking Company Pvt. Limited,"3,229,346.00","2,840,747.00","6,070,093.00","589,134.00",1/23/2017
3,22,Siprabi Securities Pvt. Limited,"7,268,333.20","13,538,423.20","20,806,756.40","6,323,838.40",1/23/2017
19,25,Sweta Securities Pvt. Limited,"5,933,776.00","4,342,229.00","10,276,005.00","881,776.00",1/23/2017
33,26,Asian Securities Pvt. Limited,"3,767,714.00","3,724,698.00","7,492,412.00","44,160.00",1/23/2017
7,28,Shree Krishna Securities Limited,"4,110,883.00","11,867,920.00","15,978,803.00","310,616.00",1/23/2017
18,29,Trishul Securities And Investment Limited,"7,743,867.00","3,372,269.00","11,116,136.00",0,1/23/2017
45,3,Arun Securities Pvt. Limited,"1,918,416.00","2,088,262.00","4,006,678.00",0,1/23/2017
10,32,Premier Securites Company Limited,"9,707,442.00","4,279,804.00","13,987,246.00","850,884.00",1/23/2017
24,33,Dakshinkali Investment Securities Pvt.Limited,"5,578,606.00","4,049,225.00","9,627,831.00","661,740.00",1/23/2017
22,34,Vision Securities Pvt.Limited,"4,748,525.00","5,134,979.00","9,883,504.00","674,174.00",1/23/2017
44,35,Kohinoor Investment and Securities Pvt.Ltd,"1,879,070.00","2,436,012.00","4,315,082.00","68,040.00",1/23/2017
28,36,Secured Securities Limited,"2,772,260.00","5,946,425.00","8,718,685.00","394,182.00",1/23/2017
39,37,Swarnalaxmi Securities Pvt.Limited,"3,305,838.00","2,495,899.00","5,801,737.00","1,643,940.00",1/23/2017
16,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,"4,799,973.00","7,618,240.00","12,418,213.00","1,667,540.00",1/23/2017
49,39,Sumeru Securities Pvt.Limited,"990,835.00","955,908.00","1,946,743.00","157,400.00",1/23/2017
47,4,Stock Broker Opal Securities Investment Pvt. Limited,"1,754,531.00","1,642,235.00","3,396,766.00",0,1/23/2017
43,40,Creative Securities Pvt.Limited,"1,645,456.00","2,908,325.00","4,553,781.00",0,1/23/2017
14,41,Linch Stock Market Limited,"10,287,019.00","3,235,470.36","13,522,489.36","2,386,074.00",1/23/2017
35,42,Sani Securities Company Limited,"5,948,538.00","1,332,279.00","7,280,817.00","51,792.00",1/23/2017
34,43,South Asian Bulls Pvt.Limited,"1,495,405.00","5,827,719.00","7,323,124.00",0,1/23/2017
4,44,Dynamic Money Managers Securities Pvt.Ltd,"5,814,027.00","14,894,199.00","20,708,226.00","3,028,800.00",1/23/2017
1,45,Imperial Securities Co .Pvt.Limited,"5,934,345.00","69,372,098.00","75,306,443.00","616,796.00",1/23/2017
46,46,Kalika Securities Pvt.Limited,"1,947,026.00","1,469,009.00","3,416,035.00",0,1/23/2017
